Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
|    iterations           | 237          |
|    time_elapsed         | 857          |
|    total_timesteps      | 485376       |
| train/                  |              |
|    approx_kl            | 0.0038559053 |
|    clip_fraction        | 0.0387       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.36        |
|    explained_variance   | 0.786        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0343      |
|    n_updates            | 2360         |
|    policy_gradient_loss | -0.00162     |
|    value_loss           | 0.00301      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.4         |
|    ep_rew_mean          | 0.197        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 238          |
|    time_elapsed         | 861          |
|    total_timesteps      | 487424       |
| train/                  |              |
|    approx_kl            | 0.0032977124 |
|    clip_fraction        | 0.0431       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.401       |
|    explained_variance   | 0.564        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0255      |
|    n_updates            | 2370         |
|    policy_gradient_loss | -0.00495     |
|    value_loss           | 0.00604      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 77         |
|    ep_rew_mean          | 0.234      |
| time/                   |            |
|    fps                  | 565        |
|    iterations           | 239        |
|    time_elapsed         | 865        |
|    total_timesteps      | 489472     |
| train/                  |            |
|    approx_kl            | 0.00646157 |
|    clip_fraction        | 0.0504     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.414     |
|    explained_variance   | 0.546      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0173     |
|    n_updates            | 2380       |
|    policy_gradient_loss | -0.00286   |
|    value_loss           | 0.00636    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 81.5         |
|    ep_rew_mean          | 0.213        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 240          |
|    time_elapsed         | 868          |
|    total_timesteps      | 491520       |
| train/                  |              |
|    approx_kl            | 0.0022155438 |
|    clip_fraction        | 0.0215       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.29        |
|    explained_variance   | 0.389        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0127       |
|    n_updates            | 2390         |
|    policy_gradient_loss | -0.00155     |
|    value_loss           | 0.00675      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.3        |
|    ep_rew_mean          | 0.207       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 241         |
|    time_elapsed         | 872         |
|    total_timesteps      | 493568      |
| train/                  |             |
|    approx_kl            | 0.006337071 |
|    clip_fraction        | 0.0638      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.368      |
|    explained_variance   | 0.55        |
